titulo,usuario,tiempo,me_gusta,comentario
QUÉ ES UNA API | Te lo explico en 3 minutos!,@Diegomadrid26,hace 3 años,,Hola. Tengo una duda alguno podria ayudarme? No me queda muy claro del todo la diferencia entre web service y api
QUÉ ES UNA API | Te lo explico en 3 minutos!,@tomandocafe4964,hace 4 años,,Suscrito
QUÉ ES UNA API | Te lo explico en 3 minutos!,@uketarist,hace 4 años,5,"Excelente explicación. No tengo background técnico ni de ingeniería pero me gustan los temas de tecnología porque irremediablemente todos debemos empaparnos de estos temas, ya que son nuestro pan de cada día y cada vez están más presentes en todo lo que hacemos. De más de 15 videos que vi sobre este tema , sin duda el tuyo fue el más claro y conciso. Me suscribo. Saludos"
QUÉ ES UNA API | Te lo explico en 3 minutos!,@mrshashtag,hace 4 años,2,Maravilloso! Gracias :)
QUÉ ES UNA API | Te lo explico en 3 minutos!,@sanacore,hace 4 años,2,"Muy bueno Leo!
Ojala vuelvas a subir material mas seguido.
Estas en alguna otra plataforma?"
QUÉ ES UNA API | Te lo explico en 3 minutos!,@WilsonXtrem007,hace 4 años,1,Excelente explicación. Suscrito 
QUÉ ES UNA API | Te lo explico en 3 minutos!,@BearmasterOfficial,hace 4 años,3,"Excelente video bro, ayer vi el 2do video de MongoDB y de verdad que me encanto!!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@Robot101,hace 13 días,,"1000 gracias por la explicación
Ha sido fabulosa.
10/10"
REST y RESTful APIs | Te lo explico en 5 minutos!,@sebastianrodriguez1506,hace 2 semanas,,"Muchas gracias, que explicación mas valioss para mi"
REST y RESTful APIs | Te lo explico en 5 minutos!,@patisol6,hace 2 días,,"Gracias, me sirvi'o mucho"
REST y RESTful APIs | Te lo explico en 5 minutos!,@jvargasxp,hace 2 semanas,,"Excelente explicación, muy clara y detallada. Gracias!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@Munoz-in1ew,hace 1 mes,,que excelente explicación!
REST y RESTful APIs | Te lo explico en 5 minutos!,@jakejesus8904,hace 3 meses,,"Magnifica explicación, Leonardo. Gracias!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@user-rd4oo1jg5g,hace 3 meses,,"Hola que tal? Muy buen video, consulta por lo que investigue se dice que las api rest son stateless esto es a nivel servidor o cliente? En el caso por ej de react que tb se habla de componentes con y sin estado es a nivel cliente o servidor? No me queda del todo claro. Graciass"
REST y RESTful APIs | Te lo explico en 5 minutos!,@kakauendurmar,hace 1 mes,,Super bueno!
REST y RESTful APIs | Te lo explico en 5 minutos!,@jesusm.m9269,hace 5 meses,,"Muy interesante, gracias!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@user-sc9vg9vw5p,hace 1 mes,,"no me gustó el video es una estafa, dice que me lo explica en 5 min pero el video dura en realidad 4:59"
REST y RESTful APIs | Te lo explico en 5 minutos!,@joselaco54,hace 5 meses,,Excelente!
REST y RESTful APIs | Te lo explico en 5 minutos!,@waltercabriles,hace 5 meses,,De las mejores explicaciones 
REST y RESTful APIs | Te lo explico en 5 minutos!,@facundorodriguez3261,hace 5 meses,,tipazo
REST y RESTful APIs | Te lo explico en 5 minutos!,@comunidadtron4048,hace 6 meses,,Gracias amigo súper clara la explicación
REST y RESTful APIs | Te lo explico en 5 minutos!,@danielsanbsas,hace 5 meses,,"ENTONCES la api siempre estaria del lado del servidor
y los comandos siguen siendo los mismos de html 
el punto es que debe ser otro puerto el que escuche las peticiones api.
¿es asi?"
REST y RESTful APIs | Te lo explico en 5 minutos!,@JeffRoraima,hace 8 meses,,"Excelente explicación, concisa y pedagógica.
Hay mucho conocimiento en YouTube pero poca pedagogía, se valora mucho."
REST y RESTful APIs | Te lo explico en 5 minutos!,@EdoAlfonso,hace 8 meses (editado),,"Muy buena explicación, gracias! lo explicó todo en menos de 1 min"
REST y RESTful APIs | Te lo explico en 5 minutos!,@dani010203stor,hace 6 meses,,1:46  perdon pero ese ejemplo del video no sería una URL? tengo entendido que las URI son diferentes
REST y RESTful APIs | Te lo explico en 5 minutos!,@mateoalvarez7129,hace 9 meses,,Exelente explicacion ! Al fin pude entenderlo de manera sencila
REST y RESTful APIs | Te lo explico en 5 minutos!,@leamsiergamer910,hace 9 meses,,Me quitaste un peso de encima xD
REST y RESTful APIs | Te lo explico en 5 minutos!,@Omar-dz7wx,hace 10 meses,,Excelente resumen y muy bien explicado. Al grano como decimos aquí en México. Saludos!
REST y RESTful APIs | Te lo explico en 5 minutos!,@littlevlunews2467,hace 10 meses,,Estupenda explicacion !
REST y RESTful APIs | Te lo explico en 5 minutos!,@diegoboyatjian5465,hace 10 meses,,muy buena explicacion! lo dejaste tan claro que me pregunto por que no lo pude entender tan facil la primera vez que me lo explicaron.
REST y RESTful APIs | Te lo explico en 5 minutos!,@arceprog,hace 10 meses,,"Buena explicacion , gracias"
REST y RESTful APIs | Te lo explico en 5 minutos!,@AurelioSiordia,hace 10 meses,,excelente explicación!! gracias
REST y RESTful APIs | Te lo explico en 5 minutos!,@playsi5955,hace 1 año,,Excelente explicación
REST y RESTful APIs | Te lo explico en 5 minutos!,@sirixb8847,hace 1 año,,"Increible esta explicación demasiado bueno, el formato todo, me aclara muchas cosas gracias."
REST y RESTful APIs | Te lo explico en 5 minutos!,@apssapito3875,hace 1 año,,"amigo, necesito ayuda con una aplicacion en visual studio"
REST y RESTful APIs | Te lo explico en 5 minutos!,@nivek_DEV,hace 1 año,,Excelente
REST y RESTful APIs | Te lo explico en 5 minutos!,@danielfranco1345,hace 1 año,,soy el unico que no entendio nada? :C
REST y RESTful APIs | Te lo explico en 5 minutos!,@katana7641,hace 1 año,,"Que bien explica, muchas gracias, saludos!!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@galahad4514,hace 1 año,,muy buena explicación
REST y RESTful APIs | Te lo explico en 5 minutos!,@nicolasmusante2061,hace 1 año,,Muy concisa y buena explicación en 2023
REST y RESTful APIs | Te lo explico en 5 minutos!,@rossmelweb931,hace 1 año,,"gracias , tu videos son una joya me sirvio para refrescar los conocientos y poder dar la entrevista normal"
REST y RESTful APIs | Te lo explico en 5 minutos!,@ohiwantyoutobelieve,hace 1 año,,Excelememente explicado
REST y RESTful APIs | Te lo explico en 5 minutos!,@Baruavlog,hace 1 año,2,"Hola! Actualmente soy un Java Junior Developer, que tendria que aprender antes para poder aprender rest ? Por ahora conozco Java y SQL. Sigo aprendiendo cada dia!"
REST y RESTful APIs | Te lo explico en 5 minutos!,@normaedithpantojamendoza9866,hace 1 año,,"Muy buena explicación, gracias"
REST y RESTful APIs | Te lo explico en 5 minutos!,@samuelbullon3792,hace 1 año,,Mi pana aplausos por la explicacion clara y sencilla
REST y RESTful APIs | Te lo explico en 5 minutos!,@megatronixx,hace 1 año,,"Una consulta, el servidor de una api rest puede ser tambien un dispositivo mobil, o tiene que ser una pc."
REST y RESTful APIs | Te lo explico en 5 minutos!,@malcolmhaslop8653,hace 1 año,12,Error: PUT y PATCH está mal explicado. PUT reemplaza al objeto ya creado dentro del servidor y si no existe lo crea. El verbo PATCH se utiliza para actualizar LITERALMENTE un atributo de un objeto. PUT y PATCH no son la misma cosa. Muchos programadores utilizan PUT en dónde deberían de solo y únicamente utilizar PATCH
Lenguajes de Programación | Te lo explico en 5 minutos!,@dannygarciasanchez9346,hace 3 años,,¡Muy buen vídeo!
Lenguajes de Programación | Te lo explico en 5 minutos!,@kalanzans,hace 3 años,,Espectacular! Gracias!
Lenguajes de Programación | Te lo explico en 5 minutos!,@codechappie,hace 4 años,1,Bueno 
Apache Spark | Te lo explico en 5 minutos!,@wakaw.5852,hace 23 horas,,"buen video, gracias"
Apache Spark | Te lo explico en 5 minutos!,@Josemartinez-oz4es,hace 2 días,,Muy bueno !
Apache Spark | Te lo explico en 5 minutos!,@JuanchoConDatos,hace 8 días,2,"Excelente vídeo, gran explicacion para entender la complejidad de la tecnología de Apache Spark. Muchas gracias!"
Apache Spark | Te lo explico en 5 minutos!,@Robot101,hace 2 semanas (editado),1,"Ni mi profesor amenazado de muerte haría una explicación y un video tan bueno como este.
Te doy Like , me suscribo y te doy las gracias por compartir tus conocimientos."
Apache Spark | Te lo explico en 5 minutos!,@jesuseduardocardenasovies3133,hace 3 semanas,,gracias
Apache Spark | Te lo explico en 5 minutos!,@DavidQuezada7,hace 1 mes,,Buenísima explicación!
Apache Spark | Te lo explico en 5 minutos!,@felipegomez903,hace 1 mes,,"Muy buen video, gracias crack"
Apache Spark | Te lo explico en 5 minutos!,@salva-dev,hace 1 mes (editado),,Increíble explicación. Enhorabuena porque no parece fácil simplificar y lo explicas genial. Gracias. Ya tienes otro seguidor.
Apache Spark | Te lo explico en 5 minutos!,@javalepc,hace 1 mes,,"Felicitaciones, excelente video."
Apache Spark | Te lo explico en 5 minutos!,@josil8411,hace 2 meses,,"Excelente calidad de presentación y explicación, gracias."
Apache Spark | Te lo explico en 5 minutos!,@carlosmoran2683,hace 2 meses,,Muy buena la explicación y sencilla de entender. Muchas gracias!!!
Apache Spark | Te lo explico en 5 minutos!,@diegogiardini,hace 2 meses,,Gracias por la sencilla explicación. Llevo usando pyspark durante todo 2023 sin detenerme a pensar de que se trata el framework de Spark. Ahora mucho mas claro todo. Saludos :)
Apache Spark | Te lo explico en 5 minutos!,@4a-12-marianagarciaayala4,hace 3 meses,8,Felicitaciones tienes el don para explicar.
Apache Spark | Te lo explico en 5 minutos!,@rodrigo7026,hace 3 meses,,buenisimo!! gracias!
Apache Spark | Te lo explico en 5 minutos!,@kimyrodriguez1,hace 3 meses,,
Apache Spark | Te lo explico en 5 minutos!,@alejandromarmolejo7401,hace 3 meses,,Los héroes sin capa sí existen. Gracias por el contenido
Apache Spark | Te lo explico en 5 minutos!,@gabrielcornejo2206,hace 4 meses,,"Hola Leonardo, me encantó tu video muy claro. El video lo hiciste tú? Haces videos de otros temas? Me gustaría saber si me puedes hacer un video."
Apache Spark | Te lo explico en 5 minutos!,@IJIOICI,hace 4 meses,,Extraordinara explicación Leonardo. ¿Con qué aplicación haces la presentación animada?. Saludos!
Apache Spark | Te lo explico en 5 minutos!,@VictorHugo-bd3bf,hace 4 meses,1,"Wow, me alegro mucho haber dado clic en este video. Explica perfecto, muchas gracias."
Apache Spark | Te lo explico en 5 minutos!,@shirleyjannetterosasguadar4987,hace 5 meses,,Muy explicativo y conciso! Gracias!
Apache Spark | Te lo explico en 5 minutos!,@negrodurazo,hace 5 meses,,super video lo recomiendo ampliamente
Apache Spark | Te lo explico en 5 minutos!,@omarsantiagoanzures4691,hace 5 meses,,"muchas gracias por hacer este tipo de videos Leonardo, se agradece mucho! :')"
Apache Spark | Te lo explico en 5 minutos!,@gerberlima6375,hace 5 meses,,Muy buena explicación!
Apache Spark | Te lo explico en 5 minutos!,@fannynavarrete324,hace 6 meses,,"Muy clara la explicación Leonardo, va directo al grano. Muchas gracias"
Apache Spark | Te lo explico en 5 minutos!,@eugeniofrancomontesrodrigu44,hace 7 meses,,Clarísimo! muchas gracias!
Apache Spark | Te lo explico en 5 minutos!,@gabrielrobertocastillocort2669,hace 7 meses,3,"No suelo comentar casi nunca, pero lpm que buen vídeo"
Apache Spark | Te lo explico en 5 minutos!,@armandopenaleonett1258,hace 7 meses,,"Muchas gracias, ahora tengo mas claro lo que es spark"
Apache Spark | Te lo explico en 5 minutos!,@choisabe3002,hace 7 meses,,"me quedo mas claro el concepto, gracias"
Apache Spark | Te lo explico en 5 minutos!,@juanaugustovaca,hace 8 meses,,"Excelente video! la mejor bajada a tierra sobre la Spark, felicidades por tener tan buen contenido!"
Apache Spark | Te lo explico en 5 minutos!,@josevieraflores8312,hace 8 meses,,excelente
Apache Spark | Te lo explico en 5 minutos!,@jogicoRobles,hace 8 meses,,Saludos desde Mexico Excelente Video rapido conciso y con cariño super video Gracias y mas Exitoooo
Apache Spark | Te lo explico en 5 minutos!,@KevinMorales96,hace 8 meses,6,Excelente vídeo. Se nota el cariño con el que se produce el contenido.
Apache Spark | Te lo explico en 5 minutos!,@lucdubs7873,hace 8 meses,,"muy buena explicación y calidad de edición, nuevo sub."
Apache Spark | Te lo explico en 5 minutos!,@sergiol.quesadabarreto5003,hace 9 meses,4,"Muy buena explicacion, si asi tal cual tuvieras el curso no dudaria en ver cada video. En lo particular lo he visto en Databricks."
Apache Spark | Te lo explico en 5 minutos!,@CristianFlores-rj3ny,hace 9 meses,,Qué excelente explicación! Muchas gracias!
Apache Spark | Te lo explico en 5 minutos!,@ezequielsaldana8279,hace 9 meses (editado),,Leo muchas gracias. Vas a hacer el curso de Spark?
Apache Spark | Te lo explico en 5 minutos!,@dodgewagen,hace 9 meses,,Muchas gracias. Muy claro.
Apache Spark | Te lo explico en 5 minutos!,@asteve_7184,hace 9 meses,1,Muchas gracias por las explicación! Muy buen  vídeo!
Apache Spark | Te lo explico en 5 minutos!,@DidaKusAlex,hace 5 meses,,Tremenda explicacion! gracias totales! GOAT
Apache Spark | Te lo explico en 5 minutos!,@08098988able,hace 8 meses,,"Excelente explicación, mis felicitaciones Leo "
El Gráfico de Pie en 1 minuto | #python #shorts #datascience,,hace 9 meses,,Aprende conmigo todo sobre Análisis de datos y Visualizaciones acá: https://www.udemy.com/course/curso-maestro-de-visualizaciones/?referralCode=6EA7B5E7A070417F990D
El Gráfico de Pie en 1 minuto | #python #shorts #datascience,@facundosoto2748,hace 6 meses,,Se dice que el grafico de pie es el que menos se recomienda ya que los humanos no tenemos muy buena percepción de los cortes que utiliza. Aun asi tenemos que aprender a hacerlos porque todos lo quieren 
